C-SDB_TIT-0,C-W96-0,C-SDB_BBTR-0,F-ANK,F-UEB
198601,W96-9,70,41,150
198601,W96-9,81,2146,6651
198601,W96-9,60,9,83
198602,W96-9,1,46972,112706
198602,W96-9,2,13918,36925
198602,W96-9,3,10433,26429
198602,W96-9,70,23,131
198602,W96-9,81,2559,8050
198602,W96-9,60,10,32
198603,W96-9,1,79167,206692
198603,W96-9,2,37949,98635
198603,W96-9,3,20659,54380
198603,W96-9,70,545,1611
198603,W96-9,81,5216,16195
198603,W96-9,60,71,205
198604,W96-9,1,99222,260383
198604,W96-9,2,45968,122795
198604,W96-9,3,24744,65159
198604,W96-9,70,1583,4735
198604,W96-9,81,6100,17621
198604,W96-9,60,97,413
198605,W96-9,1,102731,275688
198605,W96-9,2,49263,133616
198605,W96-9,3,28892,77889
198605,W96-9,70,5705,16036
198605,W96-9,81,3663,11837
198605,W96-9,60,174,764
198606,W96-9,1,92191,234753
198606,W96-9,2,44089,111653
198606,W96-9,3,22875,62092
198606,W96-9,70,8619,22289
198606,W96-9,81,8780,26760
198606,W96-9,60,116,585
198607,W96-9,1,91431,229540
198607,W96-9,2,51803,132827
198607,W96-9,3,31402,87627
198607,W96-9,70,26001,66434
198607,W96-9,81,7843,19215
198607,W96-9,60,143,528
198608,W96-9,1,116086,302111
198608,W96-9,2,74729,190347
198608,W96-9,3,39595,103105
198608,W96-9,70,31531,84191
198608,W96-9,81,8165,20851
198608,W96-9,60,159,652
198609,W96-9,1,122937,330219
198609,W96-9,2,69099,182801
198609,W96-9,3,31474,91996
198609,W96-9,70,6996,18872
198609,W96-9,81,6369,19125
198609,W96-9,60,197,699
198610,W96-9,1,115993,295717
198610,W96-9,2,48725,130537
198610,W96-9,3,25068,71421
198610,W96-9,70,2598,8420
198610,W96-9,81,6047,19000
198610,W96-9,60,142,490
198611,W96-9,1,80301,199912
198611,W96-9,2,30933,75733
198611,W96-9,3,13904,38952
198611,W96-9,70,302,1372
198611,W96-9,81,4509,12972
198611,W96-9,60,40,191
198612,W96-9,1,74432,182367
198612,W96-9,2,28540,69777
198612,W96-9,3,14021,37023
198612,W96-9,70,330,1371
198612,W96-9,81,4045,11529
198612,W96-9,60,28,114
198701,W96-9,1,42756,112399
198701,W96-9,2,16050,42742
198701,W96-9,3,8700,27309
198701,W96-9,70,94,364
198701,W96-9,81,2822,8796
198701,W96-9,60,36,179
198702,W96-9,1,50004,113794
198702,W96-9,2,17935,43567
198702,W96-9,3,10145,28163
198702,W96-9,70,23,162
198702,W96-9,81,3179,8686
198702,W96-9,60,5,36
198703,W96-9,1,76722,183764
198703,W96-9,2,32134,77831
198703,W96-9,3,16278,41799
198703,W96-9,70,75,193
198703,W96-9,81,5713,18625
198703,W96-9,60,20,63
198704,W96-9,1,105807,278415
198704,W96-9,2,56494,145236
198704,W96-9,3,25504,72716
198704,W96-9,70,3007,9531
198704,W96-9,81,7177,20692
198704,W96-9,60,106,430
198705,W96-9,1,119654,316577
198705,W96-9,2,49724,134506
198705,W96-9,3,25652,73842
198705,W96-9,70,5818,15965
198705,W96-9,81,6287,19457
198705,W96-9,60,109,373
198706,W96-9,1,127735,328309
198706,W96-9,2,51338,134088
198706,W96-9,3,25000,68325
198706,W96-9,70,10462,28488
198706,W96-9,81,7432,21067
198706,W96-9,60,147,506
198707,W96-9,1,99339,251080
198707,W96-9,2,99690,245567
198707,W96-9,3,32655,96959
198707,W96-9,70,26929,68567
198707,W96-9,81,8972,21766
198707,W96-9,60,160,509
198708,W96-9,1,152826,391509
198708,W96-9,2,88101,232153
198708,W96-9,3,44548,125888
198708,W96-9,70,29955,81973
198708,W96-9,81,8798,21374
198708,W96-9,60,178,632
198709,W96-9,1,140109,358330
198709,W96-9,2,79683,210982
198709,W96-9,3,45965,133925
198709,W96-9,70,7969,22154
198709,W96-9,81,7025,21235
198709,W96-9,60,92,261
198710,W96-9,1,129350,335943
198710,W96-9,2,48949,127694
198710,W96-9,3,24848,67612
198710,W96-9,70,2115,9138
198710,W96-9,81,6247,20607
198710,W96-9,60,77,278
198711,W96-9,1,85864,201809
198711,W96-9,2,30758,72204
198711,W96-9,3,16937,43519
198711,W96-9,70,39,153
198711,W96-9,81,4300,13549
198711,W96-9,60,30,106
198712,W96-9,1,85433,207274
198712,W96-9,2,27970,65589
198712,W96-9,3,14741,38270
198712,W96-9,70,559,2383
198712,W96-9,81,3730,9955
198712,W96-9,60,16,58
198801,W96-9,1,56263,144748
198801,W96-9,2,25379,64225
198801,W96-9,3,10902,33294
198801,W96-9,70,173,924
198801,W96-9,81,1945,4638
198801,W96-9,60,2,14
198802,W96-9,1,56442,129573
198802,W96-9,2,26270,60737
198802,W96-9,3,10806,29177
198802,W96-9,70,49,354
198802,W96-9,81,3491,10328
198802,W96-9,60,2,32
198803,W96-9,1,104046,245291
198803,W96-9,2,50969,123037
198803,W96-9,3,17572,47241
198803,W96-9,70,313,1082
198803,W96-9,81,6999,21020
198803,W96-9,60,136,414
198804,W96-9,1,125792,324181
198804,W96-9,2,54937,143537
198804,W96-9,3,23837,65528
198804,W96-9,70,2935,8660
198804,W96-9,81,7202,19381
198804,W96-9,60,82,245
198805,W96-9,1,125637,321300
198805,W96-9,2,55232,146967
198805,W96-9,3,26811,71324
198805,W96-9,70,6029,17119
198805,W96-9,81,6891,19941
198805,W96-9,60,69,290
198806,W96-9,1,120381,292724
198806,W96-9,2,59020,153389
198806,W96-9,3,27494,76515
198806,W96-9,70,11235,27116
198806,W96-9,81,7449,20719
198806,W96-9,60,62,169
198807,W96-9,1,125252,311768
198807,W96-9,2,76986,190578
198807,W96-9,3,31618,91339
198807,W96-9,70,30922,73306
198807,W96-9,81,8725,21000
198807,W96-9,60,104,361
198808,W96-9,1,134542,352380
198808,W96-9,2,104291,265567
198808,W96-9,3,41669,118992
198808,W96-9,70,37393,94797
198808,W96-9,81,10521,23990
198808,W96-9,60,122,387
198809,W96-9,1,148459,360228
198809,W96-9,2,91143,236653
198809,W96-9,3,36289,107960
198809,W96-9,70,8044,20867
198809,W96-9,81,7324,20874
198809,W96-9,60,121,369
198810,W96-9,1,135617,347640
198810,W96-9,2,62191,161275
198810,W96-9,3,31362,88022
198810,W96-9,70,6027,17271
198810,W96-9,81,7159,20147
198810,W96-9,60,70,312
198811,W96-9,1,95631,224420
198811,W96-9,2,40889,94042
198811,W96-9,3,17513,45431
198811,W96-9,70,406,2697
198811,W96-9,81,5522,15246
198811,W96-9,60,44,195
198812,W96-9,1,82756,210553
198812,W96-9,2,37918,91271
198812,W96-9,3,16623,44157
198812,W96-9,70,305,1149
198812,W96-9,81,4382,10222
198812,W96-9,60,30,164
198901,W96-9,1,60011,149900
198901,W96-9,2,24472,63559
198901,W96-9,3,11275,33942
198901,W96-9,70,160,815
198901,W96-9,81,3589,9597
198901,W96-9,60,19,52
198902,W96-9,1,67557,152561
198902,W96-9,2,27213,69694
198902,W96-9,3,11125,27313
198902,W96-9,70,83,219
198902,W96-9,81,4767,12105
198902,W96-9,60,17,97
198903,W96-9,1,112690,281040
198903,W96-9,2,50361,132496
198903,W96-9,3,21493,53023
198903,W96-9,70,1348,4821
198903,W96-9,81,7937,19878
198903,W96-9,60,29,99
198904,W96-9,1,137427,334731
198904,W96-9,2,68158,177891
198904,W96-9,3,25585,64930
198904,W96-9,70,1791,5058
198904,W96-9,81,8735,22318
198904,W96-9,60,102,336
198905,W96-9,1,138085,360774
198905,W96-9,2,68601,184242
198905,W96-9,3,30060,80070
198905,W96-9,70,5929,15791
198905,W96-9,81,8182,23540
198905,W96-9,60,145,514
198906,W96-9,1,134271,327256
198906,W96-9,2,62973,159233
198906,W96-9,3,27178,79301
198906,W96-9,70,8751,22020
198906,W96-9,81,9794,25290
198906,W96-9,60,85,243
198907,W96-9,1,127665,311445
198907,W96-9,2,81240,198785
198907,W96-9,3,33518,93079
198907,W96-9,70,27811,67714
198907,W96-9,81,12887,28456
198907,W96-9,60,101,309
198908,W96-9,1,159136,402224
198908,W96-9,2,110175,281162
198908,W96-9,3,42424,126601
198908,W96-9,70,34775,87022
198908,W96-9,81,13764,29068
198908,W96-9,60,187,689
198909,W96-9,1,151367,379231
198909,W96-9,2,93510,244495
198909,W96-9,3,33640,99184
198909,W96-9,70,8923,23105
198909,W96-9,81,10952,26080
198909,W96-9,60,106,384
198910,W96-9,1,144022,361584
198910,W96-9,2,60093,157488
198910,W96-9,3,30815,82895
198910,W96-9,70,2460,7929
198910,W96-9,81,8009,22604
198910,W96-9,60,118,336
198911,W96-9,1,107352,248598
198911,W96-9,2,41222,104993
198911,W96-9,3,18146,49465
198911,W96-9,70,668,3424
198911,W96-9,81,3826,12367
198911,W96-9,60,64,186
198912,W96-9,1,97067,242520
198912,W96-9,2,39509,102762
198912,W96-9,3,15481,44336
198912,W96-9,70,444,1316
198912,W96-9,81,6003,14410
198912,W96-9,60,23,85
199001,W96-9,1,72106,177555
199001,W96-9,2,26518,67081
199001,W96-9,3,11986,37094
199001,W96-9,70,298,1111
199001,W96-9,81,4752,13781
199001,W96-9,60,25,66
199002,W96-9,1,77184,173680
199002,W96-9,2,28080,67699
199002,W96-9,3,12173,34233
199002,W96-9,70,189,407
199002,W96-9,81,6977,16583
199002,W96-9,60,14,38
199003,W96-9,1,117914,274420
199003,W96-9,2,51422,129172
199003,W96-9,3,17473,44711
199003,W96-9,70,391,1027
199003,W96-9,81,8356,22914
199003,W96-9,60,42,202
199004,W96-9,1,147168,377982
199004,W96-9,2,71091,186223
199004,W96-9,3,28406,77831
199004,W96-9,70,3978,10717
199004,W96-9,81,11059,29023
199004,W96-9,60,95,346
199005,W96-9,1,162885,404884
199005,W96-9,2,64786,164685
199005,W96-9,3,25977,71640
199005,W96-9,70,4742,12666
199005,W96-9,81,11032,28818
199005,W96-9,60,91,280
199006,W96-9,1,161598,396815
199006,W96-9,2,60655,153591
199006,W96-9,3,30286,76542
199006,W96-9,70,10446,25703
199006,W96-9,81,12789,31148
199006,W96-9,60,113,318
199007,W96-9,1,149876,371585
199007,W96-9,2,79372,193523
199007,W96-9,3,40224,106347
199007,W96-9,70,29795,69638
199007,W96-9,81,14938,31353
199007,W96-9,60,82,259
199008,W96-9,1,184282,451616
199008,W96-9,2,109876,278462
199008,W96-9,3,63306,169457
199008,W96-9,70,37257,91463
199008,W96-9,81,16718,32727
199008,W96-9,60,114,354
199009,W96-9,1,174875,426171
199009,W96-9,2,102444,249483
199009,W96-9,3,51127,127632
199009,W96-9,70,9541,22622
199009,W96-9,81,10901,28251
199009,W96-9,60,45,134
199010,W96-9,1,157102,394976
199010,W96-9,2,65731,169064
199010,W96-9,3,28364,78057
199010,W96-9,70,197,678
199010,W96-9,81,11207,28447
199010,W96-9,60,49,167
199011,W96-9,1,137050,299451
199011,W96-9,2,41609,103213
199011,W96-9,3,16857,46361
199011,W96-9,70,669,1946
199011,W96-9,81,6895,19015
199011,W96-9,60,7,24
199012,W96-9,1,95382,244990
199012,W96-9,2,36486,93175
199012,W96-9,3,15570,41490
199012,W96-9,70,472,1195
199012,W96-9,81,4236,10455
199012,W96-9,60,10,22
199101,W96-9,1,65107,158815
199101,W96-9,2,23929,61351
199101,W96-9,3,12694,32627
199101,W96-9,70,148,819
199101,W96-9,81,7672,19555
199101,W96-9,60,7,17
199102,W96-9,1,54767,127185
199102,W96-9,2,20988,52556
199102,W96-9,3,10628,28429
199102,W96-9,70,92,350
199102,W96-9,81,6746,15459
199102,W96-9,60,2,19
199103,W96-9,1,92995,228986
199103,W96-9,2,42456,111434
199103,W96-9,3,20082,52501
199103,W96-9,70,852,2326
199103,W96-9,81,9007,23691
199103,W96-9,60,13,56
199104,W96-9,1,119513,293734
199104,W96-9,2,51714,136177
199104,W96-9,3,24933,63495
199104,W96-9,70,2153,6121
199104,W96-9,81,6112,16391
199104,W96-9,60,25,103
199105,W96-9,1,145864,372936
199105,W96-9,2,60433,159074
199105,W96-9,3,30421,76988
199105,W96-9,70,5737,15201
199105,W96-9,81,11173,28528
199105,W96-9,60,73,309
199106,W96-9,1,138458,350836
199106,W96-9,2,53168,139661
199106,W96-9,3,28397,72491
199106,W96-9,70,7705,19943
199106,W96-9,81,8521,20730
199106,W96-9,60,50,172
199107,W96-9,1,122916,299975
199107,W96-9,2,60969,158148
199107,W96-9,3,46275,125530
199107,W96-9,70,28016,67762
199107,W96-9,81,14243,31451
199107,W96-9,60,49,266
199108,W96-9,1,176799,453263
199108,W96-9,2,89564,235305
199108,W96-9,3,64851,172815
199108,W96-9,70,42710,110033
199108,W96-9,81,16216,31934
199108,W96-9,60,56,199
199109,W96-9,1,157580,421010
199109,W96-9,2,74269,196039
199109,W96-9,3,52862,141172
199109,W96-9,70,9730,22504
199109,W96-9,81,11440,29779
199109,W96-9,60,68,237
199110,W96-9,1,159069,399680
199110,W96-9,2,61618,162694
199110,W96-9,3,27846,74499
199110,W96-9,70,253,654
199110,W96-9,81,11638,29876
199110,W96-9,60,22,68
199111,W96-9,1,116262,276776
199111,W96-9,2,39309,98958
199111,W96-9,3,17220,44328
199111,W96-9,70,500,2122
199111,W96-9,81,7641,18144
199111,W96-9,60,11,62
199112,W96-9,1,105092,266558
199112,W96-9,2,36608,96520
199112,W96-9,3,15348,39544
199112,W96-9,70,380,1498
199112,W96-9,81,7168,19470
199112,W96-9,60,27,117
199201,W96-9,1,73429,178106
199201,W96-9,2,25143,66022
199201,W96-9,3,12161,30623
199201,W96-9,70,213,555
199201,W96-9,81,5906,13518
199201,W96-9,60,14,50
199202,W96-9,1,85577,193533
199202,W96-9,2,26379,64875
199202,W96-9,3,11489,29637
199202,W96-9,70,80,234
199202,W96-9,81,6162,16040
199202,W96-9,60,3,13
199203,W96-9,1,124859,298493
199203,W96-9,2,47016,120896
199203,W96-9,3,16928,42885
199203,W96-9,70,361,1124
199203,W96-9,81,9831,27052
199203,W96-9,60,36,169
199204,W96-9,1,145773,355363
199204,W96-9,2,56786,151790
199204,W96-9,3,25906,65768
199204,W96-9,70,4157,11520
199204,W96-9,81,10917,29325
199204,W96-9,60,41,159
199205,W96-9,1,179128,414309
199205,W96-9,2,59804,161765
199205,W96-9,3,26733,71837
199205,W96-9,70,5020,13191
199205,W96-9,81,10966,30041
199205,W96-9,60,24,142
199206,W96-9,1,142172,331116
199206,W96-9,2,53324,138571
199206,W96-9,3,27339,67305
199206,W96-9,70,9204,24497
199206,W96-9,81,12645,32097
199206,W96-9,60,147,307
199207,W96-9,1,137638,334472
199207,W96-9,2,63800,164703
199207,W96-9,3,51362,139447
199207,W96-9,70,26130,65524
199207,W96-9,81,14487,30823
199207,W96-9,60,45,238
199208,W96-9,1,165431,428505
199208,W96-9,2,82776,213402
199208,W96-9,3,61201,161395
199208,W96-9,70,35299,88263
199208,W96-9,81,13960,31745
199208,W96-9,60,53,264
199209,W96-9,1,170194,420955
199209,W96-9,2,74497,193685
199209,W96-9,3,44331,120459
199209,W96-9,70,8344,19659
199209,W96-9,81,11035,29907
199209,W96-9,60,62,188
199210,W96-9,1,165291,387593
199210,W96-9,2,57019,149150
199210,W96-9,3,25523,65441
199210,W96-9,70,2832,7945
199210,W96-9,81,10889,30049
199210,W96-9,60,21,76
199211,W96-9,1,108710,251037
199211,W96-9,2,35599,88838
199211,W96-9,3,15873,40422
199211,W96-9,70,344,1018
199211,W96-9,81,7333,21525
199211,W96-9,60,28,101
199212,W96-9,1,110972,267337
199212,W96-9,2,35728,88244
199212,W96-9,3,16110,39386
199212,W96-9,70,470,1191
199212,W96-9,81,6013,16853
199212,W96-9,60,21,75
199301,W96-9,1,72887,185082
199301,W96-9,2,23329,63084
199301,W96-9,3,12187,32696
199301,W96-9,70,151,1000
199301,W96-9,81,5106,15733
199301,W96-9,60,17,73
199302,W96-9,1,75262,170935
199302,W96-9,2,23835,61036
199302,W96-9,3,11733,30777
199302,W96-9,81,6158,16819
199302,W96-9,60,11,42
199303,W96-9,1,120688,278767
199303,W96-9,2,43878,108399
199303,W96-9,3,16241,43365
199303,W96-9,70,170,398
199303,W96-9,81,7508,23336
199303,W96-9,60,4,8
199304,W96-9,1,130990,318301
199304,W96-9,2,52929,140340
199304,W96-9,3,25003,63843
199304,W96-9,70,3164,8451
199304,W96-9,81,10206,27396
199304,W96-9,60,28,153
199305,W96-9,1,152806,393866
199305,W96-9,2,55117,152906
199305,W96-9,3,25329,69537
199305,W96-9,70,4176,11490
199305,W96-9,81,10296,28376
199305,W96-9,60,73,248
199306,W96-9,1,155137,387348
199306,W96-9,2,54641,147216
199306,W96-9,3,27634,69440
199306,W96-9,70,8164,21424
199306,W96-9,81,12220,32166
199306,W96-9,60,50,172
199307,W96-9,1,133655,336844
199307,W96-9,2,53726,141057
199307,W96-9,3,41824,115064
199307,W96-9,70,20492,51861
199307,W96-9,81,14235,30583
199307,W96-9,60,96,326
199308,W96-9,1,154001,386178
199308,W96-9,2,68826,177919
199308,W96-9,3,53346,141067
199308,W96-9,70,22012,55616
199308,W96-9,81,13227,31677
199308,W96-9,60,97,342
199309,W96-9,1,166385,417662
199309,W96-9,2,65690,176995
199309,W96-9,3,42639,117869
199309,W96-9,70,4819,11619
199309,W96-9,81,10461,28115
199309,W96-9,60,71,304
199310,W96-9,1,158143,393112
199310,W96-9,2,53748,141125
199310,W96-9,3,23549,60902
199310,W96-9,70,4210,11310
199310,W96-9,81,9884,28913
199310,W96-9,60,47,183
199311,W96-9,1,108645,248480
199311,W96-9,2,33275,84425
199311,W96-9,3,14862,38266
199311,W96-9,70,416,1374
199311,W96-9,81,7003,19899
199311,W96-9,60,23,89
199312,W96-9,1,111725,272775
199312,W96-9,2,33751,82824
199312,W96-9,3,14314,35288
199312,W96-9,70,225,755
199312,W96-9,81,5030,12896
199312,W96-9,60,47,110
199401,W96-9,1,76162,186748
199401,W96-9,2,23345,61069
199401,W96-9,3,11521,30179
199401,W96-9,70,236,1639
199401,W96-9,81,5414,14832
199401,W96-9,60,19,46
199402,W96-9,1,81717,178137
199402,W96-9,2,23241,58176
199402,W96-9,3,11042,27535
199402,W96-9,81,5451,15536
199402,W96-9,60,23,63
199403,W96-9,1,128740,295646
199403,W96-9,2,42018,107013
199403,W96-9,3,16119,41464
199403,W96-9,70,418,1217
199403,W96-9,81,9033,25211
199403,W96-9,60,24,91
199404,W96-9,1,148165,370266
199404,W96-9,2,54877,149806
199404,W96-9,3,22535,57698
199404,W96-9,70,2483,6776
199404,W96-9,81,7954,19826
199404,W96-9,60,37,156
199405,W96-9,1,167740,415410
199405,W96-9,2,57342,153046
199405,W96-9,3,26420,69241
199405,W96-9,70,4324,12374
199405,W96-9,81,11218,29650
199405,W96-9,60,62,194
199406,W96-9,1,167505,400480
199406,W96-9,2,53538,140667
199406,W96-9,3,23750,63148
199406,W96-9,70,6110,16091
199406,W96-9,81,11585,30074
199406,W96-9,60,31,79
199407,W96-9,1,158418,378726
199407,W96-9,2,58714,154535
199407,W96-9,3,37824,106303
199407,W96-9,70,18713,46313
199407,W96-9,81,14492,32095
199407,W96-9,60,99,326
199408,W96-9,1,176922,432726
199408,W96-9,2,70230,183267
199408,W96-9,3,46473,131913
199408,W96-9,70,24760,60745
199408,W96-9,81,9791,20869
199408,W96-9,60,84,236
199409,W96-9,1,187922,445877
199409,W96-9,2,68642,183781
199409,W96-9,3,39521,112423
199409,W96-9,70,5744,14013
199409,W96-9,81,9753,28433
199409,W96-9,60,64,231
199410,W96-9,1,182885,457826
199410,W96-9,2,56337,151966
199410,W96-9,3,22923,62681
199410,W96-9,70,1767,4481
199410,W96-9,81,10356,29936
199410,W96-9,60,40,156
199411,W96-9,1,121218,273322
199411,W96-9,2,34739,85620
199411,W96-9,3,14619,40489
199411,W96-9,70,333,1083
199411,W96-9,81,4450,13413
199411,W96-9,60,16,40
199412,W96-9,1,123356,306041
199412,W96-9,2,38475,97205
199412,W96-9,3,15617,40023
199412,W96-9,70,379,1030
199412,W96-9,81,4865,13815
199412,W96-9,60,15,48
199501,W96-9,1,82748,200100
199501,W96-9,2,24759,66736
199501,W96-9,3,11567,30101
199501,W96-9,70,289,1313
199501,W96-9,81,5820,15761
199501,W96-9,60,17,128
199502,W96-9,1,82917,190614
199502,W96-9,2,24620,62403
199502,W96-9,3,11855,30305
199502,W96-9,81,5870,16933
199502,W96-9,60,31,94
199503,W96-9,1,138047,339056
199503,W96-9,2,42363,112400
199503,W96-9,3,16484,45069
199503,W96-9,70,147,536
199503,W96-9,81,6678,18343
199503,W96-9,60,17,69
199504,W96-9,1,150009,367910
199504,W96-9,2,55479,148646
199504,W96-9,3,26050,68662
199504,W96-9,70,2328,6597
199504,W96-9,81,11332,30181
199504,W96-9,60,35,161
199505,W96-9,1,180314,434158
199505,W96-9,2,59602,159588
199505,W96-9,3,27281,72530
199505,W96-9,70,3657,9886
199505,W96-9,81,10425,29342
199505,W96-9,60,54,263
199506,W96-9,1,165724,392992
199506,W96-9,2,54358,142576
199506,W96-9,3,23285,62670
199506,W96-9,70,10129,27255
199506,W96-9,81,11937,30467
199506,W96-9,60,18,80
199507,W96-9,1,151592,366034
199507,W96-9,2,55817,148945
199507,W96-9,3,34978,97611
199507,W96-9,70,14993,36829
199507,W96-9,81,14130,30935
199507,W96-9,60,56,236
199508,W96-9,1,175980,435021
199508,W96-9,2,66315,172421
199508,W96-9,3,39318,109619
199508,W96-9,70,23808,62267
199508,W96-9,81,7451,16255
199508,W96-9,60,89,272
199509,W96-9,1,185988,467198
199509,W96-9,2,69168,183504
199509,W96-9,3,34138,95865
199509,W96-9,70,4767,11945
199509,W96-9,81,10360,28729
199509,W96-9,60,56,298
199510,W96-9,1,168667,425905
199510,W96-9,2,55065,148055
199510,W96-9,3,21635,62073
199510,W96-9,70,1972,5186
199510,W96-9,81,10238,29992
199510,W96-9,60,39,143
199511,W96-9,1,130037,291819
199511,W96-9,2,36621,89207
199511,W96-9,3,13308,36470
199511,W96-9,70,283,916
199511,W96-9,81,5556,15383
199511,W96-9,60,46,177
199512,W96-9,1,131124,336788
199512,W96-9,2,42251,107686
199512,W96-9,3,14419,37727
199512,W96-9,70,277,782
199512,W96-9,81,7607,20183
199512,W96-9,60,26,103
199601,W96-9,1,82719,198851
199601,W96-9,2,24587,65316
199601,W96-9,3,10153,27355
199601,W96-9,70,460,1461
199601,W96-9,81,5626,15828
199601,W96-9,60,20,58
199602,W96-9,1,84992,194897
199602,W96-9,2,24947,60282
199602,W96-9,3,10122,25658
199602,W96-9,81,5104,14728
199602,W96-9,60,26,192
199603,W96-9,1,134981,318622
199603,W96-9,2,44816,114129
199603,W96-9,3,15658,40703
199603,W96-9,70,142,424
199603,W96-9,81,10061,27011
199603,W96-9,60,25,102
199604,W96-9,1,150357,380735
199604,W96-9,2,54295,147316
199604,W96-9,3,22980,57841
199604,W96-9,70,2575,8735
199604,W96-9,81,12144,31471
199604,W96-9,60,61,266
199605,W96-9,1,188517,473091
199605,W96-9,2,60000,165960
199605,W96-9,3,26369,71117
199605,W96-9,70,4017,11234
199605,W96-9,81,11059,31683
199605,W96-9,60,31,203
199606,W96-9,1,179989,435532
199606,W96-9,2,57974,149222
199606,W96-9,3,24178,63816
199606,W96-9,70,6711,17935
199606,W96-9,81,12080,32128
199606,W96-9,60,14,129
199607,W96-9,1,177655,419181
199607,W96-9,2,61589,161333
199607,W96-9,3,35554,99112
199607,W96-9,70,16429,39076
199607,W96-9,81,14631,34446
199607,W96-9,60,301,1155
199608,W96-9,1,191148,484471
199608,W96-9,2,72962,192974
199608,W96-9,3,40759,110652
199608,W96-9,70,23404,59575
199608,W96-9,81,15659,34014
199608,W96-9,60,160,623
199609,W96-9,1,204115,485216
199609,W96-9,2,70316,187455
199609,W96-9,3,30573,88110
199609,W96-9,70,5120,12207
199609,W96-9,81,10514,31557
199609,W96-9,60,208,704
199610,W96-9,1,177658,427885
199610,W96-9,2,54921,145245
199610,W96-9,3,19519,49740
199610,W96-9,70,1845,4690
199610,W96-9,81,10132,29202
199610,W96-9,60,167,950
199611,W96-9,1,137699,323541
199611,W96-9,2,41239,101270
199611,W96-9,3,12452,29965
199611,W96-9,70,371,961
199611,W96-9,81,7493,20769
199611,W96-9,60,72,335
199612,W96-9,1,133298,338611
199612,W96-9,2,39127,99509
199612,W96-9,3,12411,31558
199612,W96-9,70,288,778
199612,W96-9,81,9349,18127
199612,W96-9,60,138,636
199701,W96-9,1,85365,206061
199701,W96-9,2,24739,62971
199701,W96-9,3,9099,21106
199701,W96-9,70,753,1982
199701,W96-9,81,6656,14305
199701,W96-9,60,73,350
199702,W96-9,1,90697,206699
199702,W96-9,2,26188,64523
199702,W96-9,3,9198,22533
199702,W96-9,81,5885,15106
199702,W96-9,60,46,293
199703,W96-9,1,134501,351065
199703,W96-9,2,41444,112399
199703,W96-9,3,13875,36291
199703,W96-9,70,623,1569
199703,W96-9,81,10953,25805
199703,W96-9,60,74,452
199704,W96-9,1,160263,389545
199704,W96-9,2,49244,130434
199704,W96-9,3,16738,43701
199704,W96-9,70,1317,3449
199704,W96-9,81,13213,28463
199704,W96-9,60,130,581
199705,W96-9,1,193907,490536
199705,W96-9,2,57373,158767
199705,W96-9,3,24293,61276
199705,W96-9,70,2942,7828
199705,W96-9,81,7435,16094
199705,W96-9,60,235,966
199706,W96-9,1,187384,440872
199706,W96-9,2,53033,132720
199706,W96-9,3,20503,49952
199706,W96-9,70,5383,13677
199706,W96-9,81,14520,32323
199706,W96-9,60,162,717
199707,W96-9,1,173081,414897
199707,W96-9,2,53766,134990
199707,W96-9,3,27913,72649
199707,W96-9,70,11475,28204
199707,W96-9,81,18732,34454
199707,W96-9,60,165,638
199708,W96-9,1,199263,503676
199708,W96-9,2,68525,178136
199708,W96-9,3,35702,91424
199708,W96-9,70,18400,46563
199708,W96-9,81,19729,34071
199708,W96-9,60,304,1236
199709,W96-9,1,212528,518681
199709,W96-9,2,67147,173298
199709,W96-9,3,26837,75298
199709,W96-9,70,4291,10742
199709,W96-9,81,13570,29717
199709,W96-9,60,212,860
199710,W96-9,1,201856,474017
199710,W96-9,2,57313,146202
199710,W96-9,3,20128,51195
199710,W96-9,70,2416,6636
199710,W96-9,81,14088,31584
199710,W96-9,60,195,1030
199711,W96-9,1,139465,321753
199711,W96-9,2,37624,94209
199711,W96-9,3,10864,26911
199711,W96-9,4,61,291
199711,W96-9,70,214,913
199711,W96-9,81,10985,23158
199711,W96-9,60,39,306
199712,W96-9,1,156545,375751
199712,W96-9,2,44528,108882
199712,W96-9,3,12208,29939
199712,W96-9,4,118,543
199712,W96-9,70,323,725
199712,W96-9,81,10766,22613
199712,W96-9,60,81,537
199801,W96-9,1,97596,236203
199801,W96-9,2,27299,69471
199801,W96-9,3,8652,23455
199801,W96-9,4,81,262
199801,W96-9,81,8230,15291
199801,W96-9,60,24,177
199802,W96-9,1,103828,237968
199802,W96-9,2,30074,72651
199802,W96-9,3,9343,23230
199802,W96-9,4,94,473
199802,W96-9,81,8077,15053
199802,W96-9,60,43,321
199803,W96-9,1,147983,345168
199803,W96-9,2,46627,110366
199803,W96-9,3,12949,31549
199803,W96-9,4,149,589
199803,W96-9,70,201,574
199803,W96-9,81,12922,27651
199803,W96-9,60,64,520
199804,W96-9,1,172610,426585
199804,W96-9,2,57651,147416
199804,W96-9,3,20183,51760
199804,W96-9,4,182,735
199804,W96-9,70,2339,6072
199804,W96-9,81,16452,31299
199804,W96-9,60,134,665
199805,W96-9,1,198892,505686
199805,W96-9,2,61863,161238
199805,W96-9,3,23811,58827
199805,W96-9,4,139,561
199805,W96-9,70,3376,8743
199805,W96-9,81,14663,32801
199805,W96-9,60,241,1008
199806,W96-9,1,193614,453848
199806,W96-9,2,60526,146378
199806,W96-9,3,23717,54510
199806,W96-9,4,235,595
199806,W96-9,70,6499,15710
